store_id,verification_num,store_type,store_name,address,city,zip_code
29,7,1,אקספרס האודם חריש,האודם,חריש,0
56,7,1,אקספרס  חריש הרימון,האורן47,חריש,
61,7,1,אקספרס צור משה,הערבה,צור משה,
79,7,1,אקספרס חריש,נחשול 30,חריש,3786100
82,7,1,אקספרס חולון,שמריהו לוין2,חולון,
84,7,1,אקספרס בית חשמונאי,אקספרס בית חשמונאי,בית חשמונאי,
90,7,1,אקספרס גב ים באר שבע,האנרגיה 77,באר שבע,
115,7,1,אקספרס דיזינגוף,דיזינגוף תל אביב,תל אביב,
127,7,1,אקספרס טירת הכרמל,הדולפין 1,טירת הכרמל,
131,7,1,אקספרס הוד השרון,סוקולוב 37,הוד השרון,
140,7,1,אקספרס תל חי,,,
147,7,1,אקספרס זכרון,ההנפה,זכרון יעקב,
148,7,1,אקספרס מלצר רחובות,מלצר 20,רחובות,
150,0,,"אקספרס רודנסקי ת""א",רודנסקי 5,תל אביב,
169,7,1,אקספרס באר שבע,אפרים לרון 20,באר שבע,
171,7,1,אקספרס אוסטשינסקי,אוסטשינסקי 15,כפר סבא,
175,7,1,אקספרס טבריה,הבנים 6,טבריה,1420168
179,7,1,"שופרסל אקספרס הרוא""ה רמת גן","רח' הרוא""ה 152",רמת גן,
186,7,1,אקספרס התשבי,התשבי 9,חיפה,
217,7,1,אקספרס הדישון ירושלים,הדישון 1,ירושלים,
223,7,1,אקספרס מודיעין,דם המכבים 228,מודיעין,
224,7,1,"אקספרס ראשל""צ-נווה דקלים",נווה דקלים 44,ראשון לציון,
231,7,1,אקספרס רעננה- רבקה גרובר,רבקה גובר  7,רעננה,
236,7,1,אקספרס אילת שחמון,ששת הימים 310,אילת,
239,7,1,אקספרס יפו- הדרור,הדרור 2,תל אביב,
263,7,1,שופרסל אקספרס מקס ברוד,רח' מקס ברוד 34,תל אביב,
265,7,1,אקספרס חולון - זלמן ארן,זלמן ארן 1,חולון,
274,7,1,"אקספרס ת""א- פלורנטין",פלורנטין 27,תל אביב,
277,7,1,אקספרס.בני בנימין הרצליה,בני בנימין 23,הרצליה,
279,7,1,"אקספרס-ת""א דרויאנוב",רח' דרויאנוב 5,תל אביב,
285,7,1,"אקספרס סוקולוב פ""ת",סוקולוב 26,פתח תקווה,
293,7,1,שופרסל אקספרס צור הדסה,הר כתרון 18,ירושלים,
296,7,1,"אקספרס פ""ת רחל המשוררת",רחל המשוררת 29,פתח תקוה,
299,7,1,אקספרס הוד השרון,חנקין 12,הוד השרון,0
304,7,1,אקספרס קריית חיים,ציזלינג אהרון 24,קרית חיים,2627012
305,7,1,"אקספרס ת""א- יהודה המכבי",יהודה מכבי 81,תל אביב-יפו,
311,7,1,אקספרס רחובות- בוסתנאי,בוסתנאי 14,רחובות,
315,7,1,אקספרס כפר נטר,ההדרים 17,כפר נטר,0
317,7,1,אקספרס גבעת עדה,חי 67,גבעת עדה,
318,7,1,אקספרס חולון - וולפסון,הלוחמים 62,חולון,
324,7,1,אקספרס סביון- השקמה,השקמה 1,סביון,
325,7,1,אקספרס ששת הימים נס ציונ,ששת הימים 1,נס ציונה,
327,7,1,אקספרס חיפה- ראול ולנברג,ראול וולנברג 9,חיפה,3499009
328,7,1,שופרסל אקספרס האילנות חיפה,רח' האילנות 2 חיפה,חיפה,
331,7,1,"אקספרס ת""א- תוספתא",תוספתא 15,תל אביב,
334,7,1,"אקספרס פ""ת - שפירא","קק""ל 35",פתח תקווה,
335,7,1,"אקספרס כ""ס- בן גוריון",בן גוריון 35,כפר סבא,
338,7,1,אקספרס כוכב הצפון,בוני העיר 9,"ת""א",
340,7,1,"אקספרס ת""א- זריצקי",זריצקי 4,תל אביב,
341,7,1,"אקספרס רמת גן- הרוא""ה","הרוא""ה 131",רמת גן,
347,7,1,אקספרס גדרה- דרך הפרחים,דרך הפרחים 38,גדרה,
348,7,1,"אקספרס פ""ת- קק""ל","קק""ל 2",פתח תקווה,
353,7,1,אקספרס יותם,יותם 20,חיפה,
354,7,1,"'אקספרס ת""א- קינג ג'ורג",קינג ג'ורג' 58,תל אביב,
360,7,1,"אקספרס מאירוביץ ראשל""צ",מאירוביץ 17,ראשון לציון,
362,7,1,אקספרס קרן היסוד ירושלים,קרן היסוד 27,ירושלים,
368,7,1,אקספרס-נשר מרגנית,נשר המרגנית 1,חיפה,
372,7,1,אקספרס בת ים- חשמונאים,החשמונאים 41,בת ים,
375,7,1,"אקספרס כ""ס- הגליל",הגליל 58,כפר סבא,
376,7,1,אקספרס רעננה- משה דיין,משה דיין 8,רעננה,
377,7,1,אקספרס ירושלים- הדסה,בית חולים הדסה,ירושלים,
379,7,1,אקספרס גבעתיים- כצנלסון,כצנלסון 19,גבעתיים,
380,7,1,"אקספרס ת""א- מרמורק",מרמורק 10,תל אביב-יפו,
382,7,1,"אקספרס פ""ת- היבנר",היבנר 29,פתח תקוה,
384,7,1,אקספרס קרית ביאליק,שדרות ירושלים 15,קרית ביאליק,
385,7,1,אקספרס מאיר יערי תל אביב,מאיר יערי 19,תל אביב,
387,7,1,"אקספרס רמב""ם חיפה",ביהח רמבם,חיפה,0
388,7,1,אקספרס דניה,חיים הזז 5,חיפה,
390,7,1,שופרסל אקספרס אם המושבות,יעל רום 8,פתח תקוה,
391,7,1,אקספרס אלקנה,אלנקווה,אלנקווה,
393,7,1,אקספרס להבים באר שבע,שדרות הרימון,באר שבע,
394,7,1,אקספרס הכרמל כפר סבא,הגליל 31,כפר סבא,
395,7,1,אקספרס אפשטיין רחובות,אפשטיין 16,רחובות,
397,7,1,אקספרס פארק עפולה,רובע יזרעאל,עפולה,
400,7,1,אקספרס שבזי ראש העין,שלמה שבזי 172,ראש העין,
444,7,1,"אקספרס.ב""ש אביסרור",רח' יעקב כהן 8,באר שבע,
445,7,1,אקספרס רחובות,רח' יעקב 41,רחובות,
477,7,1,אקספרס הציפורים מודיעין,2 החסידה,מודיעין,
478,7,1,אקספרס גדרה,דרך האילנות 41,גדרה,
479,7,1,אקספרס בר אילן,בר אילן 24,רעננה,
481,7,1,"אקספרס מנדלה מוכר ספרים ת""א",מנדלה מוכר ספרים,תל אביב,
768,7,1,אקספרס קרניצי רמת גן,,,
779,7,1,אקספרס יבנה,דרך ז'בוטינסקי,יבנה,
780,7,1,אקספרס המעפיל רמת גן,המעפיל,רמת גן,0
844,7,1,אקספרס נגבה רמת גן,נגבה 8,רמת גן,
845,7,1,אקספרס נחשון כפר סבא,נחשון 10,כפר סבא,
