store_id,verification_num,store_type,store_name,address,city,zip_code
4,8,1,רמות,שד' גולדן מאיר 255,רמות,97733
5,2,1,אשקלון צפוני,"א.ת. צפוני , הנחושתן 10",אשקלון,78322
6,9,1,אשקלון מכללה,אלי כהן 19,אשקלון,78323
7,7,1,לב אשדוד,בלפור 7,אשדוד,77408
8,3,1,גבעת זאב,"שכונת נווה מנחם , רח' קרדון 10",גבעת זאב,90940
9,6,1,קרית גת,דרך הדרום 13,קרית גת,82021
11,2,1,כפר סבא מזרח,אלי הורוביץ 26,כפר סבא,44500
12,7,1,בני ברק כהנמן,כהנמן 106,בני ברק,51553
13,6,1,רמלה,דני מס 21,רמלה,72402
14,0,1,חולון סיירים,המרכבה 73,חולון,58851
15,1,1,תימורים,"צומת תימורים, כביש 40 תחנת סדש 0",תימורים,79860
16,6,1,אפרת,"זית שמן ,מתחם אפרת סנטר 1",אפרת,9045501
17,4,1,אשדוד סיטי,קניון הסיטי שדרות מנחם בגין 0,אשדוד,77454
18,1,1,נתיבות,בעלי המלאכה 202,נתיבות,80200
21,9,1,רעננה,אחוזה 128 0,רעננה,72402
304,0,2,אונליין - רמות,https://www.shukcity.co.il/ 0,,
305,0,2,אונליין  - אשקלון צפוני,https://www.shukcity.co.il/ 0,,
307,0,1,אונליין - לב אשדוד,,,
309,0,2,אונליין - קרית גת,https://www.shukcity.co.il/ 0,,
311,0,2,אונליין - כפר סבא,https://www.shukcity.co.il/ 0,,
312,0,2,אונליין - בני ברק,https://www.shukcity.co.il/ 0,,
313,0,1,אונליין - רמלה,,,
314,0,2,אונליין - חולון סיירים,https://www.shukcity.co.il 0,,
318,0,1,אונליין - אשקלון לקוחות עיסקיים,,,
