store_id,verification_num,store_type,store_name,address,city,zip_code
37,5,1,אור יהודה SUPER,המפעל 13,אור יהודה,
64,9,1,הרצליה ליד הביתSUPER,רבי עקיבא 50,הרצליה,46422360
69,4,1,"הברזל ת""א מגה בעיר",הברזל 11,תל אביב,6971017
70,0,1,"מנחם בגין ת""א מגה",מנחם בגין 150,תל אביב,6492105
108,8,1,מגה  פנקס תל אביב,46-50 פנקס,תל-אביב,6226112
116,7,1,SUPERדזינגוף תל אביב,9 ככר דיזנגוף,תל-אביב,6428110
140,4,1,מגה  גרינברג חיפה,20 א.צ גרינברג,חיפה,3475712
159,2,1,מגה  רמת הטייסים,2 עודד,תל-אביב,6719802
183,9,1,מגה  עוזיאל בת ים,5 עוזיאל,בת-ים,5946105
191,8,1,מגה  ויצמן חולון,48 סוקולוב,חולון,5832201
213,9,1,"מגה  אבן גבירול ת""א",30 אבן גבירול,תל-אביב,6467807
221,8,1,מגה  מגדל נחום בת ים,65 שדרות העצמאות,בת-ים,5939552
256,4,1,מגה  רמת יוסף בת ים,20 מבצע סיני,בת-ים,5951503
329,9,1,מגה  נאות רחל חולון,21 קדושי קהיר,חולון,5836111
337,8,1,מגה  נאות אפקה,15 לאה,תל-אביב,6941215
345,7,1,מגה  נאות שושנים חול,24 משה רום,חולון,5840006
353,6,1,מגה  הצרכניה של יו א,25 רוגוזין,אשדוד,7744003
460,5,1,מגה  בן גוריון גבעתי,162 בן גוריון,גבעתיים,5325322
493,3,1,"מגה  הרוא""ה ר""ג","2 הרוא""ה",רמת-גן,5243201
515,4,1,"מגה  רווה ר""ג - חדש",113 עוזיאל,רמת-גן,5234439
523,3,1,מגה  דימונה,1 הנשיא,דימונה,8603401
558,9,1,SUPER רמת החייל חדש,7 ד.מ. מרכוס,תל-אביב,6988213
580,8,1,מגה  עמק הברכה - חדש,עמק הברכה,תל-אביב,6745613
610,8,1,"מגה  רובע ט ב""ש יו",42 שדרות י-ם,באר-שבע,8477116
620,5,1,מגה  ירושלים נתניה,29 ירושלים,נתניה,4230317
698,6,1,מגה  בית אבות רמת אפ,2 שד.הארזים,רמת-אפעל,5290366
701,9,1,SUPER קרית אונו,57  הנשיא,קרית-אונו,5557057
752,3,1,מגה  רמת אפעל מרכז מ,16 שד.האורנים,רמת-אפעל,5290350
820,3,1,מגה  מרכז רעננה- חדש,114 אחוזה,רעננה,4345015
850,4,1,מגה  מרכז מסחרי קרית,1 התקומה,רעננה,4353501
870,8,1,SUPER ותיקים רעננה,11 ההסתדרות,רעננה,4345605
906,2,1,מגה  מרכז נתניה,שטמפר,נתניה,4240223
914,1,1,מגה  נוה אביבים,13 אופנהיימר,תל-אביב,6939513
981,3,1,מגה  אזורים נתניה,14 גרינבאום יצחק,נתניה,4246514
1030,9,1,"מגה  קניון ערים כפ""ס",20 כצנלסון,כפר-סבא,4440522
1040,6,1,מגה  הוד השרון,1 שלום עליכם,הוד השרון,4500901
1090,1,1,מגה  דיזינגוף,65  דיזנגוף,תל-אביב,6433237
1112,2,1,מגה  רמלה,45 שדרות הרצל,רמלה,7240613
1139,9,1,מגה  רון כפר סבא,2 יעקב כהן,כפר-סבא,4440202
1147,8,1,מגה  נוה כרמית ראשון,65 זבוטינסקי,ראשון-לציון,7521819
1150,2,1,מגה  מכבים ראש העין,מרכז רננים,מכבים,71700
1171,5,1,מגה  חפץ חיים פתח תק,28 הרצל,פתח-תקוה,4943519
1190,0,1,מגה  צמרות תל אביב,ניסים אלוני,תל-אביב,6291924
1236,1,1,מגה  מגדלי דוד תל אב,12 אורי,תל-אביב,6495410
1279,6,1,מגה  בלינסון פתח תקו,13 קפלן,פתח-תקוה,4943712
1295,4,1,"SUPERמעוז אביב ת""א",209 בני אפרים,תל-אביב,6998421
1309,6,1,מגה  רמת אביב ג,35 אבא אחימאיר,תל-אביב,6949219
1368,9,1,מגה  אריאל א,הנחשונים 37 מ.מסחרי,אריאל,4074534
1430,5,1,מגה  קניון קיראון,שלמה המלך,קריית אונו,542335
2040,3,1,מגה  כרמליה חיפה,אלכסנדר ינאי 3  חיפה,חיפה,3481603
2070,4,1,מגה  כפר יונה,40 מנחם בגין,כפר-יונה,4035736
2180,0,1,מגה  אבן יהודה,הדרים פינת המיסדים,אבן-יהודה,4051113
2190,7,1,מגה  גני העיר רחובות,15 דרך ירושלים,רחובות,7663008
2240,1,1,מגה  בית וגן ק.אתא,10 העצמאות,קרית-אתא,2807110
2320,6,1,מגה  קניון גבעתיים,ויצמן פינת יצחק רבין,גבעתיים,5346903
2330,3,1,"מגה  אשדוד י""ב",תמוז 14 מרכז מסחרי,אשדוד,7775114
2410,8,1,מגה  עיר ימים נתניה,שדרות בן גוריון,נתניה,4227231
2490,4,1,מגה  כפר שלם,10 סנפיר,תל-אביב,6729801
2518,9,1,מגה  פארק הירקון,1 שלום אש,תל-אביב,6948307
2530,1,1,מגה  בת גלים,37 העליה השניה,חיפה,3501601
2577,2,1,מגה  לב נתניה,32 הרב קוק,נתניה,4226110
2960,8,1,מגה  נוף זכרון יעקב,.10 חברה חשבונאית,זכרון יעקב,3094089
2976,9,1,מגה  צפון באר שבע,101 אברהם אבינו,באר-שבע,8454001
3020,6,1,מגה  בית אליעזר,חדרה,חדרה,3848221
3050,7,1,מגה  קניון כפר יונה,6 שרת,כפר-יונה,4035806
3174,6,1,SUPERבר אילן גבעת שמ,האורנים,גבעת-שמואל,54045301
3180,7,1,מגה  רמות צהלה,4-6 גרפית,תל-אביב,6930041
3210,7,1,מגה  לב אשקלון,שכונת שמשון,אשקלון,7864118
3280,6,1,מגה  קריית השרון נתנ,תום לנטוס 26 ק.השרון,נתניה,4276001
3300,9,1,מגה  שכונה ו באר שבע,קנ.אביה שד.שאול המלך,באר-שבע,8479612
3420,2,1,מגה  אלנבי ירושלים,"בית""ר פינת ינובסקי",ירושלים,9338603
3440,6,1,מגה  מזכרת בתיה,8 שדרות אליהו,מזכרת בתיה,7685448
3506,1,1,מגה  גבעת סביון,78 הגליל,גני-תקוה,5591478
3580,3,1,מגה  רמות אלון,29 יגאל אלון,חיפה,3298331
3600,6,1,מגה בעיר- שטמפפר,73 שטמפר,פתח-תקוה,4929078
3850,9,1,מגה  בית הכרם ירושלי,אבי זהר,ירושלים,9626701
3990,6,1,מגה  תל ברוך תל אביב,8 בקר,תל-אביב,6464316
4120,2,1,מגה  הדר הרצליה,2 הדר,הרצליה,4629025
4130,9,1,מגה  נוה אמירים הרצל,82 בן גוריון,הרצליה,4644630
4170,7,1,מגה  נוה עמל,19 כצנלסון,הרצליה,4629010
4200,7,1,SUPER זרובבל,33 סוקולוב,רמת-השרון,4723602
4220,1,1,מגה  נצר סירני,1 אבנר בן נר,נס ציונה,7422018
4280,3,1,מגה  אודיטוריום חיפה,134 שדרות הנשיא,חיפה,3464502
4420,9,1,מגה  אואזיס רמת גן,87 הרצל,רמת-גן,5244346
4640,1,1,מגה  מגדלי כרמל חיפה,20 חנה סנש,חיפה,3385401
9090,7,2,מגה דיזנגוף אונליין@,https://www.mega.co.il/,,0
