store_id,verification_num,store_type,store_name,address,city,zip_code
1,8,1,רכס,דרוק 54,ירושלים,97428
2,2,1,ים סוף מאה ואחד,ים סוף 101,ירושלים,97701
3,1,1,סנהדריה,ים סוף 17,ירושלים,97701
4,4,1,פסגת זאב,מאיר גרשון 46,ירושלים,97860
5,9,1,התאנה - חריש,התאנה 19,חריש,
6,8,1,ירמיהו אחד,ירמיהו 1,ירושלים,95306
7,3,1,משה דיין,שד' משה דיין 160,ירושלים,97816
8,4,1,פרי מגדים,פרי מגדים 19,מעלה אדומים,98480
9,1,1,גבעת מרדכי,"שח""ל 58",ירושלים,93720
11,7,1,הר חומה,ברש רועי 1,ירושלים,93134
13,5,1,מרכז כלל,אגריפס 40,ירושלים,94301
16,8,1,קניון קרסו,הרכס 31,מעלה אדומים,98554
17,8,1,הר חוצבים,המרפא 1,ירושלים,97774
18,4,1,גילה,יהושוע ברוכי 2,ירושלים,93858
20,5,1,הילל,הילל 16,ירושלים,94581
21,9,1,שמואל הנביא,שמואל הנביא 35,ירושלים,97253
22,2,1,בית ישראל,בית ישראל 17,ירושלים,95190
23,8,1,"קק""ל","קק""ל (רחביה) 12",ירושלים,92428
26,0,1,שער בנימין אזור תעשיה,אזור תעשיה שער בינימין 1,גבע בנימין,90632
27,3,1,נופי הסלע מעלה אדומים,הצור 36,מעלה אדומים,98556
28,8,1,טבריה,מיכאל 7,טבריה,14369
29,1,1,חריש טופז,טופז 1,חריש,37604
35,7,1,מגדל העמק,הזית 4,מגדל העמק,23011
38,0,1,גן ורשא,רח רבי עקיבא 94,בני ברק,51460
39,2,1,סימטת אזר,העליה השניה 13,בני ברק,51331
40,9,1,הרב קוק,הרב קוק 5,בני ברק,51405
41,4,1,רכסים,אזור תעשיה כפר חסידים 0,רכסים,20496
43,9,1,השישה עשר,השישה עשר 39,ירושלים,97534
44,0,1,שמעון חכם,חכם שמעון 14,ירושלים,95348
45,4,1,כיכר יהלום,כיכר יהלום 1,מעלה אדומים,98454
46,0,1,טבנקין,טבנקין (שכונה ה') 76,באר שבע,84745
47,1,1,יוחנן הורקנוס,יוחנן הורקנוס מרכז גלית 1,באר שבע,84557
48,1,1,קרית שמונה - קניון 8,טשרניחובסקי 4,קרית שמונה,11031
49,1,1,רמת יזרעאל,רמת יזרעאל 11,מגדל העמק,23011
50,0,1,אינטרנט,www.m2000.co.il 0,מעלה אדומים,
60,9,1,ברנפלד באר שבע,ברנפלד 17,באר שבע,84585
