code,internal_code,name,manufacturer_name,manufacture_country,manufacturer_item_description,unit_qty,quantity,unit_of_measure,weighted,qty_in_package,price,unit_of_measure_price,allow_discount,status,item_id
18389423,false,סינטה עגל,,,סינטה עגל,קילוגרמים,1.00,"ק""ג",true,,129.00,129.0000,true,1,135429
18389430,false,סינטה עגל,,,סינטה עגל,קילוגרמים,1.00,"ק""ג",true,,129.00,129.0000,true,1,135430
18389621,false,סינטה עגל,,,סינטה עגל,קילוגרמים,1.00,"ק""ג",true,,129.00,129.0000,true,1,135431
18389638,false,סינטה עגל,,,סינטה עגל,קילוגרמים,1.00,"ק""ג",true,,129.00,129.0000,true,1,135432
32147230,false,מיץ לימון סיצילייה 2,קריות זול,,מיץ לימון סיצילייה 2,מיליליטרים,200.00,"100 מ""ל",false,,8.90,4.4500,true,1,43982
40099132,false,הובה בובה צאנק תות 3,,,הובה בובה צאנק תות 3,גרמים,35.00,100 גרם,false,,3.50,10.0000,true,1,65111
40111216,false,באונטי חטיף 57גר,קריות זול,,באונטי חטיף 57גר,גרמים,57.00,100 גרם,false,,3.90,6.8421,true,1,31252
40144016,false,סוכריות וורטר גליל 5,קריות זול,,סוכריות וורטר גליל 5,גרמים,50.00,100 גרם,false,,4.90,9.8000,true,1,31900
42101666,false,אירוייז מנטה ואקליפט,,,אירוייז מנטה ואקליפט,יחידה,0.00,יחידה,false,,5.90,0.0000,true,1,89220
42154662,false,אורביט מעטפה בטעם ספ,קריות זול,,אורביט מעטפה בטעם ספ,גרמים,27.00,100 גרם,false,,6.50,24.0741,true,1,39827
42182115,false,פייב ספירמינט סטיקס,,,פייב ספירמינט סטיקס,גרמים,29.00,100 גרם,false,,7.50,25.8621,true,1,49875
42188889,false,פייב אבטיח סטיקס 29ג,,,פייב אבטיח סטיקס 29ג,גרמים,29.00,100 גרם,false,,7.50,25.8621,true,1,52489
54051140,false,אלפרו מעדן סויה וניל,קריות זול,,אלפרו מעדן סויה וניל,מיליליטרים,500.00,"100 מ""ל",false,,16.90,3.3800,true,1,39175
54051157,false,אלפרו מעדן סויה שוקו,קריות זול,,אלפרו מעדן סויה שוקו,מיליליטרים,500.00,"100 מ""ל",false,,16.90,3.3800,true,1,39176
59079774,false,רקסונה רול און אלוור,,,רקסונה רול און אלוור,מיליליטרים,50.00,"100 מ""ל",false,,14.90,29.8000,true,1,106816
59079798,false,רקסונה רול און שאור,,,רקסונה רול און שאור,מיליליטרים,50.00,"100 מ""ל",false,,14.90,29.8000,true,1,107630
59079811,false,רקסונה רולאון נשים ט,,,רקסונה רולאון נשים ט,מיליליטרים,50.00,"100 מ""ל",false,,14.90,29.8000,true,1,120691
72940754,false,"מילקי וניל 170 מ""ל",קריות זול,,"מילקי וניל 170 מ""ל",מיליליטרים,170.00,"100 מ""ל",false,,2.90,1.7059,true,1,30544
72940761,false,מילקי שוקולד מהדרין,קריות זול,,מילקי שוקולד מהדרין,מיליליטרים,170.00,"100 מ""ל",false,,2.90,1.7059,true,1,30545
72940952,false,מילקי פי 2 קצפת מהדר,קריות זול,,מילקי פי 2 קצפת מהדר,מיליליטרים,110.00,"100 מ""ל",false,,3.90,3.5455,true,1,30546
72941041,false,מיני מילקי שוקולד 70,קריות זול,,מיני מילקי שוקולד 70,מיליליטרים,70.00,"100 מ""ל",false,,2.30,3.2857,true,1,30550
72961506,false,פרילי תות 1.5% 125גר,קריות זול,,פרילי תות 1.5% 125גר,גרמים,125.00,100 גרם,false,,3.50,2.8000,true,1,29278
72961520,false,פרילי אננס 1.5% 125ג,קריות זול,,פרילי אננס 1.5% 125ג,גרמים,125.00,100 גרם,false,,3.50,2.8000,true,1,29280
72961544,false,באדי תות 125מל,קריות זול,,באדי תות 125מל,מיליליטרים,125.00,"100 מ""ל",false,,2.90,2.3200,true,1,29281
72963753,false,שמנת של פעם 27% 200מ,קריות זול,,שמנת של פעם 27% 200מ,מיליליטרים,200.00,"100 מ""ל",false,,4.30,2.1500,true,1,29288
72963920,false,תנובה יוגורט 4% 200מ,קריות זול,,תנובה יוגורט 4% 200מ,מיליליטרים,200.00,"100 מ""ל",false,,3.70,1.8500,true,1,29289
72964422,false,יוגורט פרחים תנובה 4,קריות זול,,יוגורט פרחים תנובה 4,מיליליטרים,200.00,"100 מ""ל",false,,3.00,1.5000,true,1,29291
72986370,false,בן&גריס גלידה פיינטי,,,בן&גריס גלידה פיינטי,גרמים,420.00,100 גרם,false,,24.90,5.9286,true,1,21851
72986424,false,בן&גריס גלידה פיינטי,,,בן&גריס גלידה פיינטי,יחידה,420.00,יחידה,false,,24.90,0.0593,true,1,21852
72986448,false,בן&גריס גלידה טופי ק,,,בן&גריס גלידה טופי ק,יחידה,420.00,יחידה,false,,24.90,0.0593,true,1,47700
72986455,false,בן&גריס גלידה פיינטי,,,בן&גריס גלידה פיינטי,גרמים,420.00,100 גרם,false,,24.90,5.9286,true,1,21854
72986479,false,בן&גריס גלידה צאנקי,,,בן&גריס גלידה צאנקי,גרמים,420.00,100 גרם,false,,24.90,5.9286,true,1,21855
72989425,false,בן&גריס גלידה פיינטי,,,בן&גריס גלידה פיינטי,יחידה,500.00,יחידה,false,,24.90,0.0498,true,1,21856
72991886,false,בן&גריס גלידה ריבת ח,,,בן&גריס גלידה ריבת ח,גרמים,750.00,100 גרם,false,,24.90,3.3200,true,1,21857
76106071,false,מיץ לימון משומר 200מ,קריות זול,,מיץ לימון משומר 200מ,מיליליטרים,200.00,"100 מ""ל",false,,8.90,4.4500,true,1,107713
80001287,false,גרדנה חטיף אגוז 38גר,,,גרדנה חטיף אגוז 38גר,גרמים,38.00,100 גרם,false,,4.60,12.1053,true,1,31906
80042556,false,עגבניות חתוכות מוטי,,,עגבניות חתוכות מוטי,גרמים,400.00,100 גרם,false,,16.90,4.2250,true,1,93635
80042563,false,רסק עגבניות 700גר (צ,,,רסק עגבניות 700גר (צ,גרמים,700.00,100 גרם,false,,14.90,2.1286,true,1,89084
80177173,false,נוטלה ממרח 350 גרם,קריות זול,,נוטלה ממרח 350 גרם,גרמים,350.00,100 גרם,false,,14.90,4.2571,true,1,31916
80773429,false,מסטיק מנטוס פיור פרש,,,מסטיק מנטוס פיור פרש,גרמים,60.00,100 גרם,false,,9.90,16.5000,true,1,96077
80773443,false,מסטיק מנטוס בקבוק מע,,,מסטיק מנטוס בקבוק מע,גרמים,60.00,100 גרם,false,,9.90,16.5000,true,1,93798
80776307,false,מנטוס מסטיק ביג בקבו,,,מנטוס מסטיק ביג בקבו,גרמים,90.00,100 גרם,false,,18.90,21.0000,true,1,93795
80790990,false,מסטיק מנטוס בקבוק מע,,,מסטיק מנטוס בקבוק מע,גרמים,60.00,100 גרם,false,,9.90,16.5000,true,1,93799
80794233,false,מנטוס מסטיק ביג בקבו,,,מנטוס מסטיק ביג בקבו,גרמים,90.00,100 גרם,false,,18.90,21.0000,true,1,93797
80843184,false,מסטיק מנטוס פיור פרש,,,מסטיק מנטוס פיור פרש,גרמים,60.00,100 גרם,false,,9.90,16.5000,true,1,136896
80862260,false,מנטוס מסטיק פיור ווי,,,מנטוס מסטיק פיור ווי,יחידה,0.00,יחידה,false,,18.90,0.0000,true,1,140001
