code,internal_code,name,manufacturer_name,manufacture_country,manufacturer_item_description,unit_qty,quantity,unit_of_measure,weighted,qty_in_package,price,unit_of_measure_price,allow_discount,status,item_id
28,true,"קרטון קולה 500 מ""ל-2",,,"קרטון קולה 500 מ""ל-2",ליטרים,12.00,ליטר,false,,145.60,12.1333,true,1,1335559
73,true,"10 ק""ג סוכר",,,"10 ק""ג סוכר",יחידה,0.00,יחידה,false,,39.00,0.0000,true,1,1333694
100,true,Temp Item,,,Temp Item,,0.00,,false,,0.00,0.0000,true,1,2216087
110,true,קרטון פחיות קולה 330,,,קרטון פחיות קולה 330,ליטרים,7.92,ליטר,false,,129.60,16.3636,true,1,1335565
126,true,קרטון מי עדן  קטן-24,,,קרטון מי עדן  קטן-24,מיליליטרים,12000.00,"100 מ""ל",false,,45.00,0.0038,true,1,1335567
170,true,בגט בונזור.,,,בגט בונזור.,יחידה,0.00,יחידה,false,,4.40,0.0000,true,1,1305112
172,true,לחם איטלקי טעמים.,,,לחם איטלקי טעמים.,יחידה,0.00,יחידה,false,,6.90,0.0000,true,1,1305114
176,true,חלה מתוקה קלועה בונז,,,חלה מתוקה קלועה בונז,גרמים,560.00,100 גרם,false,,10.90,0.0195,true,1,1305118
177,true,חלה רגילה בונז'ור,,,חלה רגילה בונז'ור,יחידה,0.00,יחידה,false,,9.90,0.0000,true,1,1305119
179,true,מארז 5 יח' ג'בטה,,,מארז 5 יח' ג'בטה,יח',5.00,יח',false,,14.90,2.9800,true,1,1305121
213,true,בגט קראסט שיפון.,,,בגט קראסט שיפון.,יחידה,0.00,יחידה,false,,7.90,0.0000,true,1,1305124
280,true,לחם מחמצת,,,לחם מחמצת,יחידה,0.00,יחידה,false,,16.90,0.0000,true,1,1485974
351,true,קרטון סודה קינלי 250,,,קרטון סודה קינלי 250,ליטרים,6.00,ליטר,false,,60.00,10.0000,true,1,1335570
957,true,מים בורזום טבעיים מא,,,מים בורזום טבעיים מא,ליטרים,4.50,ליטר,false,,39.90,8.8667,true,1,1335469
4444,true,מארז בייגלה 4 יח'.,,,מארז בייגלה 4 יח'.,יח',4.00,יח',false,,14.90,3.7250,true,1,1305135
8092,true,מארז 10 לחמניות פטיט,,,מארז 10 לחמניות פטיט,יח',10.00,יח',false,,10.00,1.0000,true,1,1305137
8880,true,מארז 6 יח' בייבי חלו,,,מארז 6 יח' בייבי חלו,יח',6.00,יח',false,,10.00,1.6667,true,1,1305139
8884,true,מארז חצי בגט 4 יחידו,,,מארז חצי בגט 4 יחידו,יח',4.00,יח',false,,9.90,2.4750,true,1,1305141
8887,true,מארז שליש בגט 5 יחיד,,,מארז שליש בגט 5 יחיד,יח',5.00,יח',false,,9.90,1.9800,true,1,1305142
8888,true,מארז לחמניות 5 יחידו,,,מארז לחמניות 5 יחידו,יח',5.00,יח',false,,9.90,1.9800,true,1,1305143
498393,true,חלה מתוקה עגולה לא א,,,חלה מתוקה עגולה לא א,גרמים,500.00,100 גרם,false,,7.90,0.0158,true,1,2262646
799806,true,Temp Item,,,Temp Item,,0.00,,false,,0.00,0.0000,true,1,2181763
32147230,false,מיץ לימון משומר 200,סידג,CH,"מיץ לימון משומר 200מ""ל",מיליליטרים,200.00,"100 מ""ל",false,,7.90,0.0395,true,1,1353516
40052403,false,וופל קיט-קאט בודד,,,וופל קיט-קאט בודד,גרמים,41.50,100 גרם,false,,3.90,0.0940,true,1,1417111
40084107,false,ביצת הפתעה קינדר.,,,ביצת הפתעה קינדר.,גרמים,20.00,100 גרם,false,,4.90,0.2450,true,1,1326908
40099132,false,מסטיק הובה בובה תות,,,מסטיק הובה בובה תות,גרמים,35.00,100 גרם,false,,2.90,0.0829,true,1,1337365
40111216,false,חטיף באונטי שוקולד.,מרס Mars,NL,57GR 'באונטי חטיף שוק,גרמים,57.00,100 גרם,false,,3.90,0.0684,true,1,1319124
40345123,false,סוכריות ממולא שוקולד,נסטלה,DE,סמרטיס גליל,גרמים,38.00,100 גרם,false,,3.90,0.1026,true,1,1345456
