code,internal_code,name,manufacturer_name,manufacture_country,manufacturer_item_description,unit_qty,quantity,unit_of_measure,weighted,qty_in_package,price,unit_of_measure_price,allow_discount,status,item_id
10124350,false,צלי כתף מס' 5 קפוא א,בלדי,,צלי כתף מס' 5 קפוא א,קילוגרמים,1.00,"ק""ג",true,,52.90,52.9000,true,1,29869
32147230,false,מיץ לימון משומר 200מ,,,מיץ לימון משומר 200מ,יחידה,200.00,יחידה,false,,8.90,0.0445,true,1,30578
40052403,false,קיט קט 4 אצבעות,,,קיט קט 4 אצבעות,גרמים,41.50,100 גרם,false,,3.70,0.0892,true,1,99888
40084107,false,ביצת קינדר,,,ביצת קינדר,יחידה,0.00,יחידה,false,,5.50,0.0000,true,1,79927
40099132,false,הובה בובה צ'אנק בטעם,,,הובה בובה צ'אנק בטעם,יחידה,0.00,יחידה,false,,3.00,0.0000,true,1,60064
40111216,false,חטיף באונטי קוקוס,באונטי,,חטיף באונטי קוקוס,גרמים,57.00,100 גרם,false,,4.00,0.0702,false,1,9459
40345123,false,סמרטיס-נסטלה עדשים,,,סמרטיס-נסטלה עדשים,גרמים,38.00,100 גרם,false,,3.70,0.0974,true,1,63746
42123866,false,מסטיק הובה בובה קלאס,הובה בובה,,מסטיק הובה בובה קלאס,גרמים,35.00,100 גרם,false,,3.00,0.0857,true,1,24629
42138105,false,וינסטון סופר סלימס כ,,,וינסטון סופר סלימס כ,יחידה,0.00,יחידה,false,,32.00,0.0000,false,1,35098
42182108,false,מסטיק פייב טעם מנטה,5 טעמים,,מסטיק פייב טעם מנטה,גרמים,31.00,100 גרם,false,,7.00,0.2258,true,1,37677
50204830,false,קוטל חרקים אוטן תרסי,,,קוטל חרקים אוטן תרסי,מיליליטרים,100.00,"100 מ""ל",false,,19.90,0.1990,true,1,21081
59016441,false,רקסונה דאודורנט רול,רקסונה,,רקסונה דאודורנט רול,מיליליטרים,50.00,"100 מ""ל",false,,13.90,0.2780,true,1,120198
59039549,false,ווג פריזון מנטה,,,ווג פריזון מנטה,יחידה,0.00,יחידה,false,,37.00,0.0000,false,1,41611
59068907,false,פאל מאל כחול דמי סלי,,,פאל מאל כחול דמי סלי,יחידה,0.00,יחידה,false,,25.00,0.0000,false,1,109976
59068914,false,פאל מאל סילבר דמי סל,,,פאל מאל סילבר דמי סל,יחידה,0.00,יחידה,false,,25.00,0.0000,false,1,109977
59081630,false,דאודורנט דאב רול און,דאב,,דאודורנט דאב רול און,מיליליטרים,50.00,"100 מ""ל",false,,14.90,0.2980,true,1,115665
59085645,false,דאב דאודורנט רולאון,דאב,,דאב דאודורנט רולאון,מיליליטרים,50.00,"100 מ""ל",false,,14.90,0.2980,false,1,126646
59455240,false,ווג ליידי לילך,,,ווג ליידי לילך,יחידה,0.00,יחידה,false,,37.00,0.0000,false,1,55367
72940754,false,מילקי וניל 6.5%,שטראוס,,מילקי וניל 6.5%,מיליליטרים,170.00,"100 מ""ל",false,,2.80,0.0165,true,1,7679
72940761,false,מילקי שוקו 7%,שטראוס,,מילקי שוקו 7%,מיליליטרים,170.00,"100 מ""ל",false,,2.80,0.0165,true,1,7680
72940952,false,מילקי פי 2 10%,שטראוס,,מילקי פי 2 10%,מיליליטרים,170.00,"100 מ""ל",false,,3.70,0.0218,true,1,7681
72940983,false,חומוס אחלה 250,אחלה,,חומוס אחלה 250,גרמים,250.00,100 גרם,false,,6.60,0.0264,true,1,7683
72941041,false,מילקי מיני שוקולד 7%,שטראוס,,מילקי מיני שוקולד 7%,גרמים,70.00,100 גרם,false,,2.00,0.0286,true,1,7684
72945308,false,קוביות שמרים 50,,,קוביות שמרים 50,גרמים,50.00,100 גרם,false,,3.70,0.0740,false,1,7685
72961506,false,פרילי תות 1.5%,תנובה חלב,,פרילי תות 1.5%,גרמים,125.00,100 גרם,false,,3.40,0.0272,true,1,8848
72961520,false,פרילי אננס 1.5%,תנובה חלב,,פרילי אננס 1.5%,מיליליטרים,125.00,"100 מ""ל",false,,3.40,0.0272,true,1,8850
72961544,false,"באדי תות 3% 125 מ""ל",תנובה חלב,,"באדי תות 3% 125 מ""ל",מיליליטרים,125.00,"100 מ""ל",false,,2.90,0.0232,true,1,8851
72963753,false,שמנת של פעם 27%,תנובה חלב,,שמנת של פעם 27%,מיליליטרים,200.00,"100 מ""ל",false,,4.20,0.0210,false,1,8857
72964132,false,טבעגורט 1.9% 200 גרם,תנובה חלב,,טבעגורט 1.9% 200 גרם,גרמים,200.00,100 גרם,false,,5.00,0.0250,true,1,8859
72964422,false,יוגורט תנובה 4.5%,תנובה חלב,,יוגורט תנובה 4.5%,גרמים,200.00,100 גרם,false,,2.80,0.0140,true,1,8860
72983454,false,גולף סופר סלים,,,גולף סופר סלים,יחידה,0.00,יחידה,false,,30.00,0.0000,false,1,12647
72983997,false,סיגריות גולף גולד קו,,,סיגריות גולף גולד קו,יחידה,0.00,יחידה,false,,30.00,0.0000,false,1,22872
72986370,false,בן אנד ג'ריס גלידת ו,בן אנד ג'ריס,,בן אנד ג'ריס גלידת ו,מיליליטרים,500.00,"100 מ""ל",false,,18.90,0.0378,false,1,13214
72986424,false,בן אנד ג'ריס לידת קר,בן אנד ג'ריס,,בן אנד ג'ריס לידת קר,מיליליטרים,500.00,"100 מ""ל",false,,18.90,0.0378,true,1,13215
72986448,false,בן אנד ג'ריס גלידת ט,בן אנד ג'ריס,,בן אנד ג'ריס גלידת ט,מיליליטרים,500.00,"100 מ""ל",false,,18.90,0.0378,true,1,13216
72986455,false,בן אנד ג'ריס ניו יור,בן אנד ג'ריס,,בן אנד ג'ריס ניו יור,מיליליטרים,500.00,"100 מ""ל",false,,18.90,0.0378,true,1,13217
72986479,false,בן וג'ריס צאנקי מנקי,בן אנד ג'ריס,,בן וג'ריס צאנקי מנקי,מיליליטרים,500.00,"100 מ""ל",false,,18.90,0.0378,true,1,13218
72989425,false,גלידת בראוניס,בן אנד ג'ריס,,גלידת בראוניס,יחידה,500.00,יחידה,false,,18.90,0.0378,true,1,98144
72991374,false,סיגריות טיים,,,סיגריות טיים,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,12648
72991381,false,סיגריות טיים ארו,,,סיגריות טיים ארו,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,12649
72991404,false,סיגריות אירופה,,,סיגריות אירופה,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,12651
72991428,false,סיגריות ברדווי 0,,,סיגריות ברדווי 0,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,12653
72991459,false,סיגריות גולף קצר,,,סיגריות גולף קצר,יחידה,0.00,יחידה,false,,30.00,0.0000,false,1,12656
72991473,false,סיגריות שרתון,,,סיגריות שרתון,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,12658
72991480,false,סיגריות נלסון,,,סיגריות נלסון,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,12659
72991497,false,סיגריות נובלס,,,סיגריות נובלס,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,12660
72991510,false,סיגריות מונטנה,,,סיגריות מונטנה,יחידה,0.00,יחידה,false,,30.00,0.0000,false,1,12662
72991527,false,סיגריות מוסטנג,,,סיגריות מוסטנג,יחידה,0.00,יחידה,false,,24.50,0.0000,false,1,12663
72991824,false,סיגריות טיים ליי,,,סיגריות טיים ליי,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,12664
72991886,false,בן וג'ריס ריבת חלב,בן אנד ג'ריס,,בן וג'ריס ריבת חלב,מיליליטרים,500.00,"100 מ""ל",false,,18.90,0.0378,true,1,13220
72993637,false,דני שוקולד בודד 1.5%,שטראוס,,דני שוקולד בודד 1.5%,מיליליטרים,125.00,"100 מ""ל",false,,2.60,0.0208,true,1,29528
72994061,false,פסק זמן טו גוד שוקול,עלית,,פסק זמן טו גוד שוקול,גרמים,36.00,100 גרם,false,,5.00,0.1389,true,1,106462
76136184,false,פאל מאל סופרסלימס כח,,,פאל מאל סופרסלימס כח,יחידה,0.00,יחידה,false,,29.00,0.0000,false,1,24599
80001027,false,וופל לואקר טורטי,לואקר,,וופל לואקר טורטי,גרמים,21.00,100 גרם,false,,3.90,0.1857,true,1,12781
80001461,false,גרדנה שוקולד מר 38גר,לואקר,,גרדנה שוקולד מר 38גר,גרמים,38.00,100 גרם,false,,3.90,0.1026,true,1,28215
