code,internal_code,name,manufacturer_name,manufacture_country,manufacturer_item_description,unit_qty,quantity,unit_of_measure,weighted,qty_in_package,price,unit_of_measure_price,allow_discount,status,item_id
3423909,false,הרשי קוקיס אנד קרים,ליימן שליסל,US,קוקיס אנד קרים,,0.00,100.00,false,1.00,5.90,0.00,true,0,
4014407,false,מ&מ חמאת בוטנים 46 גרם,General,US,ממתק חמאת בוטנים עם שוקולד חלב בציפוי דרג'ה,,0.00,100.00,false,1.00,6.90,0.00,true,0,
30106659,false,לרפ סיקאפלסט שפתיים לילדים ומבוגרים,נורוליס,FR,סיקאפלסט שפתיים לילדים ומבוגרים,,0.00,100.00,false,1.00,45.00,0.06,true,0,
30148130,false,לנקום ביפסיל מסיר איפור עיניים 75 מל,General,FR,BI FACIL מסיר איפור לעיניים,,0.00,100.00,false,1.00,79.00,0.01,true,0,
30162662,false,לרפ אנתליוס פלואיד להגנה מהשמש SPF50,נורוליס,FR,אנתליוס פלואיד תחליב פנים שקוף להגנה מהשמש +SPF50,,0.00,100.00,false,1.00,99.00,0.01,true,0,
40052403,false,קיט קט 4 אצבעות שוקולד חלב,אסם,DE,קיט קט 4 אצבעות שוקולד חלב,,0.00,100.00,false,1.00,4.90,0.00,true,0,
40058153,false,ניוואה קרם רב שימושי 30 מל,אלפא,,קרם רב שימושי,,0.00,100.00,false,1.00,9.90,0.00,true,0,
40084077,false,קינדר מקסי שוקולד בודד 21 גר,General,,שוקולד חלב ממולא קרם חלב,,0.00,0.00,false,1.00,2.00,0.00,true,0,
40111216,false,באונטי חטיף 57 גר,General,,באונטי חטיף בודד,,0.00,100.00,false,1.00,3.90,0.00,true,0,
40144016,false,וורטרס אורגינל חמאה גליל בודד 50 גרם,General,,סוכריות חמאה גליל בודד,,0.00,0.00,false,1.00,4.00,0.00,true,0,
40345123,false,סמארטיס גליל 38 גרם,אסם,,גליל,,0.00,100.00,false,1.00,4.90,0.00,true,0,
42101666,false,איירוויבז בקופסה מנטה ואקליפטוס,General,GB,מסטיק איירוויבז  בטעם מנטה אקליפטוס ללא סוכר,,0.00,0.00,false,1.00,5.90,0.23,true,0,
42154662,false,אורביט אריזת מעטפה ספירמינט,General,,מסטיק אורביט סטיקס בטעם מנטה עדינה ללא סוכר,,0.00,0.00,false,1.00,5.90,0.42,true,0,
42182115,false,מסטיק פייב ספירמינט 12 סטיקס,General,FR,מסטיק פייב סטיקס בטעם מנטה עדינה ללא סוכר,,0.00,0.00,false,1.00,6.90,0.00,true,0,
42188889,false,מסטיק פייב אבטיח 12 סטיקס,General,FR,מסטיק פייב סטיקס  בטעם אבטיח ללא סוכר,,0.00,0.00,false,1.00,6.90,0.00,true,0,
