code,internal_code,name,manufacturer_name,manufacture_country,manufacturer_item_description,unit_qty,quantity,unit_of_measure,weighted,qty_in_package,price,unit_of_measure_price,allow_discount,status,item_id
12,true,עיתון  עליתון,שונים,,,יח,1,,false,1,3,3,false,1,
15,true,עיתון שופר,שופר השבועון לקהילה,,,יח,1,,false,1,1,1,false,1,
16,true,מציות בית-מאפה  גאלט,מאפית היפרכהן,,,יח,1,,false,1,14.90,14.90,false,1,
23,true,עיתון השבוע,דפוס עתיד,,,יח,1,,false,1,2,2,false,1,
24,true,עיתון נתיבות,נתיבות העיתון של העיר,,,יח,1,,false,1,3.50,3.50,false,1,
25,true,עיתון מגזין,ל.א אוחיון פרסום ותקשורת בעמ,,,יח,1,,false,1,3,3,false,1,
38,true,עיתון צהוב,י.מ.צ.א ביצוע פרויקטים,,,יח,1,,false,1,3.50,3.50,false,1,
48,true,תוי קניה 1,שונים,,,יח,1,,false,1,1,1,false,1,
50,true,מים קטן כללי,החברה המרכזית להפצת משקאות בע,,,יח,1,,false,1,4.90,4.90,false,1,
70,true,טרופית,שונים,,,יח,1,,false,1,1.10,1.10,false,1,
100,true,תו קניה וועד עובדים עיריה,שונים,,,יח,1,,false,1,530,530,false,1,
118,true,לחמניה  ארוכה,בית מאפה ח. כהן חדש,,,יח,1,,false,1,1.90,1.90,true,1,
119,true,חצי בגט,בית מאפה ח. כהן חדש,,,יח,1,,false,1,2.90,2.90,true,1,
120,true,לחמניה קלועה שמניה /מיני חלה,בית מאפה ח. כהן חדש,,,יח,1,,false,1,2.50,2.50,true,1,
121,true,חלה  4 צמות,בית מאפה ח. כהן חדש,,,יח,1,,false,1,9.90,9.90,true,1,
122,true,לחמניה  ציפור//פרח,בית מאפה ח. כהן חדש,,,יח,1,,false,1,2.50,2.50,true,1,
129,true,לחם קווקזי,בית מאפה ח. כהן חדש,,,יח,1,,false,1,7.90,7.90,false,1,
143,true,חלה שושנה,בית מאפה ח. כהן חדש,,,יח,1,,false,1,7.90,7.90,false,1,
147,true,בייגל שומשום,מאפית היפרכהן,,,יח,1,,false,1,4.20,4.20,false,1,
148,true,מארז 5 פיתות,גיא שיווק טוב,,,יח,5,למארז,false,1,8,1.60,false,1,
149,true,לחמניה כפרית,ג`נרל מילס ישראל בעמ,,,יח,1,,false,1,2.50,2.50,false,1,
158,true,חלה 2 צמות.,בית מאפה ח. כהן חדש,,,יח,1,,false,1,6.50,6.50,true,1,
159,true,חלה מתוקה,בית מאפה ח. כהן חדש,,,יח,1,,false,1,11.90,11.90,false,1,
161,true,לחמניה המבורגר,ג`נרל מילס ישראל בעמ,,,יח,1,,false,1,3.30,3.30,true,1,
165,true,לחמניה מתוקה קלועה,בית מאפה ח. כהן חדש,,,יח,1,,false,1,2.70,2.70,true,1,
211,true,לחם מקל סבא,בית מאפה ח. כהן חדש,,,יח,1,,false,1,2.50,2.50,false,1,
221,true,לחמניה  טונסאי,בית מאפה ח. כהן חדש,,,יח,1,,false,1,2.50,2.50,true,1,
231,true,כבד עוף מוכן,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,51.50,5.15,false,1,
232,true,טונה מזרחי פיקנטי,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,82.50,8.25,false,1,
237,true,סיגרים פסטלים,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,49,4.90,false,1,
240,true,כרעיים  מבושל(קייטרינג),יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,51.50,5.15,false,1,
241,true,קציצות דג פיקנטיות,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,71.50,7.15,false,1,
242,true,שניצל מטוגן(קייטרינג),יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,62,6.20,false,1,
245,true,פרגיות אפויות-סטייק  פרגית,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,93,9.30,false,1,
250,true,סופגניה,ג`נרל מילס ישראל בעמ,,,יח,1,,false,1,3.90,3.90,false,1,
252,true,רוסטביף/אסאדו,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,107.80,10.78,false,1,
254,true,צלי  בקר,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,107.80,10.78,false,1,
255,true,קציצות בקר מזרחי,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,71.50,7.15,false,1,
256,true,חזה עוף פיקנטי,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,62,6.20,false,1,
259,true,פיתות 10 יח`,גיא שיווק טוב,,,יח,1,,false,1,15.90,15.90,false,1,
262,true,לחמניה שומשום,בית מאפה ח. כהן חדש,,,יח,1,,false,1,2.50,2.50,true,1,
271,true,פלפל/כרוב  ממולא,יזמויות אור הנר,,,ל 100 גרם,10,ל 100 גרם,true,1,64.90,6.49,false,1,
282,true,סופגניה ריבת חלב טעמים,מאפית היפרכהן,,,יח,1,,false,1,6,6,false,1,
466,true,בצל ירוק,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,5.90,5.90,false,1,
502,true,אננס שלם,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,39.90,3.99,false,1,
504,true,אפרסמון,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,13.90,13.90,false,1,
505,true,אבוקדו,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
507,true,אפרסמון קרמבו,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,16.90,16.90,false,1,
508,true,אפרסק,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,12.90,12.90,false,1,
510,true,אגס אדום,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,16.90,16.90,false,1,
511,true,.אגס,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,16.90,16.90,false,1,
513,true,שום  ירוק{חתוך/שבור/קצר},"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,19.90,19.90,false,1,
514,true,ראש שום טרי חתוך,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,24.90,24.90,false,1,
517,true,תפוזים ברשת{ארוז בלבד},"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,7.90,7.90,false,1,
530,true,בננה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,8.90,8.90,true,1,
531,true,אבטיח אישי,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,false,1,
533,true,גויאבה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,12.90,12.90,false,1,
535,true,לימון,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,false,1,
540,true,מלון,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,false,1,
543,true,מנגו,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,19.90,19.90,false,1,
545,true,נקטרינה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,12.90,12.90,false,1,
547,true,מלון בוכרי ירוק/צהוב,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,8.90,8.90,false,1,
553,true,ענב תפזורת ירוק,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,"ל100 מ""ל",true,1,29.90,2.99,false,1,
554,true,ענב אדום רד  גלוב/  מיקס,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,22.90,2.29,false,1,
560,true,קלמנטינה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,true,1,
563,true,קיווי,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,19.90,19.90,false,1,
564,true,רימון,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,false,1,
568,true,שזיף אדום,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,15.90,15.90,false,1,
573,true,שזיף שגיב/מיטלי,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,15.90,15.90,false,1,
575,true,תפוז,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,true,1,
579,true,נענע רגיל,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,3.90,3.90,true,1,
580,true,חבוש,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,12.90,12.90,false,1,
581,true,תפוח עץ אנה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
583,true,תפוח סמיט ירוק,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,10.90,1.09,false,1,
584,true,תפוח עץ גלה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
585,true,תפוח חרמון,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,10.90,1.09,false,1,
586,true,תפוח עץ אורלינס,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
588,true,תפוח עץ יונתן ייבוא,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
590,true,תפוח זהוב,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
592,true,תפוח עץ פינק,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,14.90,14.90,false,1,
603,true,דלורית,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,true,1,
605,true,בצל יבש,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,"לק""ג",true,1,3.90,3.90,true,1,
606,true,בטטה קסביה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,15.90,15.90,false,1,
608,true,בצל ירוק ארוז,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,5.90,5.90,false,1,
609,true,בצל סגול,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,true,1,
612,true,בטטה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,8.90,8.90,false,1,
613,true,קישוא עגול/ירוק,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,8.90,8.90,false,1,
618,true,גזר ארוז,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,3.90,3.90,true,1,
621,true,דלעת /יפנית  / אקזוטי,*22138,,,"לק""ג",1,,true,1,12.90,12.90,false,1,
624,true,חסה עגולה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,6.90,6.90,false,1,
625,true,חציל,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,true,1,
628,true,תירס ארוז,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,14.90,1.49,false,1,
630,true,כרוב  לבן,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,3.90,3.90,true,1,
631,true,פלפלונים צבעוני טינקרבל,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,ל 100 גרם,false,1,18.90,18.90,false,1,
633,true,כרוב אדום.,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,8.90,8.90,true,1,
634,true,קישוא  קרעה(ברכות),"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,16.90,16.90,false,1,
635,true,כרובית,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,8.90,8.90,false,1,
639,true,כוסברה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,3.90,3.90,true,1,
645,true,מלפפון,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,"לק""ג",true,1,5.90,5.90,true,1,
646,true,שורש  פטרוזיליה/סלרי ראש,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,5.90,5.90,false,1,
650,true,נענע,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,3.90,3.90,true,1,
655,true,סלרי,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,5.90,5.90,false,1,
659,true,סלק אדום,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,3.90,3.90,true,1,
660,true,עגבניה  תמר,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,4.90,0.49,false,1,
661,true,עגבניות שרי תפזורת,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,19.90,1.99,false,1,
662,true,עגבניה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,true,1,
663,true,פלפל חריף ירוק,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,9.90,0.99,false,1,
664,true,פלפל חריף אדום,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,19.90,19.90,false,1,
665,true,גמבה ירוקה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
666,true,תפוח אדמה לבן/אדום/גזר תפזורת,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,false,1,
667,true,גמבה אדומה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,ל 100 גרם,true,1,9.90,9.90,true,1,
668,true,גמבה כתום,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
669,true,גמבה בהירה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
670,true,פטרוזליה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,3.90,3.90,true,1,
675,true,שמיר,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,3.90,3.90,true,1,
678,true,חסה מסולסלת ירוק/אדום,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,9.90,9.90,false,1,
684,true,פלפל שושקה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,19.90,19.90,false,1,
685,true,קישוא,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,7.90,7.90,false,1,
687,true,קולורבי,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,true,1,
689,true,שום יבש,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,7.90,7.90,false,1,
690,true,שומר.,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
691,true,גמבה צהובה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,true,1,
696,true,"תפו""א לבן ארוז","בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,3.90,3.90,true,1,
697,true,"תפו""א  אדום ארוז","בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,4.90,4.90,false,1,
722,true,חיסול גליל אלבד,שונים,,,יח,0,יח,false,1,14.90,14.90,false,1,
985,true,פטרוזליה ברכת קטיף,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,5.90,5.90,false,1,
1021,true,זנבות הודו,יהודה ניב,,,"לק""ג",10,ל 100 גרם,true,1,7.90,0.79,false,1,
1111,true,מכולת,שונים,,,יח,1,,false,1,0.01,0.01,false,1,
1164,true,דג לברק נקי פילה   קפוא זוגות,אחים דובקין בעמ,,,יח,1,,false,1,79,79,false,1,
1197,true,גבינת פטה צי חתם סופר,גבינות הכפר בעמ,,,ל 100 גרם,10,ל 100 גרם,true,1,32.90,3.29,false,1,
1278,true,נקניקיות מרגז חריפות,עת רן (1996) בעמ,,,"לק""ג",10,ל 100 גרם,true,1,58.90,5.89,false,1,
1502,true,שמיטה  אננס חול,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,יח,true,1,39.90,39.90,false,1,
1504,true,שמיטה אפרסמון-אוצר בית דין,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,13.90,13.90,false,1,
1505,true,שמיטה אבוקדו,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
1511,true,שמיטה  אגסים,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,16.90,16.90,false,1,
1530,true,שמיטה בננה-שמינית,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,8.90,8.90,true,1,
1535,true,שמיטה  לימון-אוצר בית דין,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,false,1,
1540,true,שמיטה  מלון..,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,false,1,
1543,true,שמיטה  מנגו-אוצר בית דין,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
1545,true,שמיטה נקטרינה-אוצר בית דין,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,7.90,7.90,false,1,
1553,true,שמיטה  ענבים לבן-אוצר בית דין,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,19.90,19.90,false,1,
1560,true,שמיטה  קלמנטינה-אוצר בית דין,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,true,1,
1563,true,שמיטה  קיווי,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,19.90,19.90,false,1,
1564,true,שמיטה  רימון-אוצר בית דין,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,6.90,0.69,false,1,
1575,true,שמיטה  תפוז-אוצר בית דין,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,true,1,
1579,true,סלרי ברכת קטיף,*22138,,,יח,1,,false,1,6.90,6.90,false,1,
1580,true,שמיטה  חבושים,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,12.90,12.90,false,1,
1581,true,תפוח עץ אנה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
1582,true,שמיטה  אבקדו ארוז,*22138,,,"לק""ג",1,,true,1,9.90,9.90,false,1,
1583,true,שמיטה  תפוח סמיט ירוק,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
1584,true,שמיטה-תפוח עץ גלה-,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
1585,true,שמיטה  תפוח חרמון,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
1586,true,שמיר  ב. קטיף,*22138,,,יח,1,,false,1,5.90,5.90,false,1,
1588,true,שמיטה-תפוח עץ יונתן,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
1590,true,שמיטה  תפוח זהוב.,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,10.90,10.90,false,1,
1592,true,תפוח פינק ליידי שמיטה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,14.90,14.90,false,1,
1603,true,שמיטה  דלורית,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,true,1,
1605,true,שמיטה בצל יבש,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,3.90,3.90,true,1,
1609,true,מנגולד גוש קטיף ירק הארץ היתר מכירה,*22138,,,יח,1,,false,1,7.90,7.90,false,1,
1612,true,שמיטה  בטטה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,8.90,8.90,false,1,
1618,true,שמיטה גזר  ארוז,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,3.90,3.90,true,1,
1620,true,שמיטה  דלעת,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,12.90,12.90,false,1,
1625,true,שמיטה  חצילים,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,6.90,6.90,true,1,
1630,true,שמיטה  כרוב  לבן,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,3.90,3.90,true,1,
1633,true,שמיטה  כרוב אדום.,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,8.90,8.90,true,1,
1645,true,שמיטה  מלפפון,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,"לק""ג",true,1,5.90,5.90,true,1,
1659,true,שמיטה  סלק אדום,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,3.90,3.90,true,1,
1661,true,שמיטה  עגבניות שרי תמר,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,14.90,1.49,false,1,
1662,true,שמיטה  עגבניה רגילה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,true,1,
1663,true,שמיטה פלפל חריף,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",10,ל 100 גרם,true,1,9.90,0.99,false,1,
1664,true,שמיטה פלפל חריף אדום,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,14.90,14.90,false,1,
1665,true,שמיטה  גמבה ירוקה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
1666,true,שמיטה תפוח אדמה לבן/אדום/גזר תפזורת,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,5.90,5.90,false,1,
1667,true,שמיטה  גמבה אדומה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,ל 100 גרם,true,1,9.90,9.90,true,1,
1669,true,שמיטה  גמבה בהירה,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
1685,true,שמיטה קישואים.,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,7.90,7.90,false,1,
1689,true,שמיטה  שום יבש,"בכורי השדה צפון1994 ג.ד. בע""מ",,,יח,1,,false,1,7.90,7.90,false,1,
1690,true,שמיטה  שומר,"בכורי השדה צפון1994 ג.ד. בע""מ",,,"לק""ג",1,,true,1,9.90,9.90,false,1,
